cell_type	target	filetype	download_link	source	assembly
GM12878	H3K4me3	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF538GUG/@@download/ENCFF538GUG.bigBed	ENCODE	hg19
GM12878	H3K4me3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF674QZB/@@download/ENCFF674QZB.bigWig	ENCODE	hg19
GM12878	JUNB	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF671XIQ/@@download/ENCFF671XIQ.bigBed	ENCODE	hg19
GM12878	JUNB	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF278JRW/@@download/ENCFF278JRW.bigWig	ENCODE	hg19
GM12878	SIN3A	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF580QAA/@@download/ENCFF580QAA.bigBed	ENCODE	hg19
GM12878	SIN3A	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF747GCR/@@download/ENCFF747GCR.bigWig	ENCODE	hg19
GM12878	MTA2	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF361YNB/@@download/ENCFF361YNB.bigBed	ENCODE	hg19
GM12878	MTA2	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF021OHP/@@download/ENCFF021OHP.bigWig	ENCODE	hg19
GM12878	H4K20me1	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF031EHW/@@download/ENCFF031EHW.bigBed	ENCODE	hg19
GM12878	H4K20me1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF831WYD/@@download/ENCFF831WYD.bigWig	ENCODE	hg19
GM12878	IRF5	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF681WHN/@@download/ENCFF681WHN.bigBed	ENCODE	hg19
GM12878	IRF5	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF975GNN/@@download/ENCFF975GNN.bigWig	ENCODE	hg19
GM12878	H2AFZ	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF379SHI/@@download/ENCFF379SHI.bigBed	ENCODE	hg19
GM12878	H2AFZ	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF885XEM/@@download/ENCFF885XEM.bigWig	ENCODE	hg19
GM12878	RCOR1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF876SYJ/@@download/ENCFF876SYJ.bigBed	ENCODE	hg19
GM12878	RCOR1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF483ELN/@@download/ENCFF483ELN.bigWig	ENCODE	hg19
GM12878	TAF1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF476ZNS/@@download/ENCFF476ZNS.bigBed	ENCODE	hg19
GM12878	TAF1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF411THR/@@download/ENCFF411THR.bigWig	ENCODE	hg19
GM12878	ZBTB33	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF681RVL/@@download/ENCFF681RVL.bigBed	ENCODE	hg19
GM12878	ZBTB33	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF759UFB/@@download/ENCFF759UFB.bigWig	ENCODE	hg19
GM12878	MEF2B	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF779NGV/@@download/ENCFF779NGV.bigBed	ENCODE	hg19
GM12878	MEF2B	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF637YIA/@@download/ENCFF637YIA.bigWig	ENCODE	hg19
GM12878	E2F8	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF298JWO/@@download/ENCFF298JWO.bigBed	ENCODE	hg19
GM12878	E2F8	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF284FKX/@@download/ENCFF284FKX.bigWig	ENCODE	hg19
GM12878	E2F4	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF683PLX/@@download/ENCFF683PLX.bigBed	ENCODE	hg19
GM12878	E2F4	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF926RPL/@@download/ENCFF926RPL.bigWig	ENCODE	hg19
GM12878	POLR3G	optimal IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF430FNU/@@download/ENCFF430FNU.bigBed	ENCODE	hg19
GM12878	TARDBP	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF468SZX/@@download/ENCFF468SZX.bigBed	ENCODE	hg19
GM12878	TARDBP	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF362SVS/@@download/ENCFF362SVS.bigWig	ENCODE	hg19
GM12878	TCF12	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF603BBW/@@download/ENCFF603BBW.bigBed	ENCODE	hg19
GM12878	TCF12	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF527WDJ/@@download/ENCFF527WDJ.bigWig	ENCODE	hg19
GM12878	TBP	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF875GEQ/@@download/ENCFF875GEQ.bigBed	ENCODE	hg19
GM12878	TBP	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF595HYD/@@download/ENCFF595HYD.bigWig	ENCODE	hg19
GM12878	H3K27me3	replicated peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF176SQS/@@download/ENCFF176SQS.bigBed	ENCODE	hg19
GM12878	H3K27me3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF167NBF/@@download/ENCFF167NBF.bigWig	ENCODE	hg19
GM12878	NFIC	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF598MIG/@@download/ENCFF598MIG.bigBed	ENCODE	hg19
GM12878	NFIC	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF996TKN/@@download/ENCFF996TKN.bigWig	ENCODE	hg19
GM12878	MTA3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF457WBH/@@download/ENCFF457WBH.bigBed	ENCODE	hg19
GM12878	MTA3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF906VFS/@@download/ENCFF906VFS.bigWig	ENCODE	hg19
GM12878	ZFP36	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF998TXK/@@download/ENCFF998TXK.bigBed	ENCODE	hg19
GM12878	ZFP36	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF508ATZ/@@download/ENCFF508ATZ.bigWig	ENCODE	hg19
GM12878	SPI1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF255HPH/@@download/ENCFF255HPH.bigBed	ENCODE	hg19
GM12878	SPI1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF793RKX/@@download/ENCFF793RKX.bigWig	ENCODE	hg19
GM12878	RAD21	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF891UAP/@@download/ENCFF891UAP.bigBed	ENCODE	hg19
GM12878	RAD21	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF567EGK/@@download/ENCFF567EGK.bigWig	ENCODE	hg19
GM12878	CBX3	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF732LWT/@@download/ENCFF732LWT.bigBed	ENCODE	hg19
GM12878	CBX3	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF560MPE/@@download/ENCFF560MPE.bigWig	ENCODE	hg19
GM12878	MYC	optimal IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF453AHV/@@download/ENCFF453AHV.bigBed	ENCODE	hg19
GM12878	NFYA	optimal IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF800ZEJ/@@download/ENCFF800ZEJ.bigBed	ENCODE	hg19
GM12878	NFYA	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF169EJC/@@download/ENCFF169EJC.bigWig	ENCODE	hg19
GM12878	ATF2	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF776TIB/@@download/ENCFF776TIB.bigBed	ENCODE	hg19
GM12878	ATF2	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF214DHW/@@download/ENCFF214DHW.bigWig	ENCODE	hg19
GM12878	MXI1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF651XZU/@@download/ENCFF651XZU.bigBed	ENCODE	hg19
GM12878	MXI1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF840ZJM/@@download/ENCFF840ZJM.bigWig	ENCODE	hg19
GM12878	BCL11A	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF441FOB/@@download/ENCFF441FOB.bigBed	ENCODE	hg19
GM12878	BCL11A	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF049DFX/@@download/ENCFF049DFX.bigWig	ENCODE	hg19
GM12878	YY1	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF338GRE/@@download/ENCFF338GRE.bigBed	ENCODE	hg19
GM12878	YY1	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF631VCL/@@download/ENCFF631VCL.bigWig	ENCODE	hg19
GM12878	BHLHE40	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF944MMI/@@download/ENCFF944MMI.bigBed	ENCODE	hg19
GM12878	BHLHE40	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF522MRN/@@download/ENCFF522MRN.bigWig	ENCODE	hg19
GM12878	MEF2A	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF402EQI/@@download/ENCFF402EQI.bigBed	ENCODE	hg19
GM12878	MEF2A	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF975FYL/@@download/ENCFF975FYL.bigWig	ENCODE	hg19
GM12878	CTCF	conservative IDR thresholded peaks (bigBed narrowPeak)	https://www.encodeproject.org/files/ENCFF034SYS/@@download/ENCFF034SYS.bigBed	ENCODE	hg19
GM12878	CTCF	fold change over control (bigWig)	https://www.encodeproject.org/files/ENCFF312KXX/@@download/ENCFF312KXX.bigWig	ENCODE	hg19
