rearrangement_ID	rearrangement_type	cell_type	capture_WT_raw_data	capture_Mut_raw_data	cite	genome_assembly	chr	start_capture	end_capture	start1	end1	start2	end2	start3	end3	start4	end4	start5	end5	start6	end6	comments	path_to_processed_CTCF_data	CTCF_raw_data	CTCF_input
Bor	deletion	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR3179590	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111522545	111540886												./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096941
BorC1	deletion_2	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR8453401-SRR8453402	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111904229	111904329	111522535	111540879										./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096953
BorC1-2	deletion_3	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR8453403-SRR8453404	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	112209542	112209642	111522535	111540879	111653006	111653106								./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096950
BorC1-4	deletion_5	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR8453405	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111522535	111540879	111514320	111653006	111653106	111904229	111904329	111964807	112103393	112103493				./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096954
D3839	deletion_2	erythroid cells	./exp_datasets/SRR5453529-SRR5453530-SRR5453531-SRR5453514-SRR5453515-SRR5453516-SRR5453505-SRR5453506-SRR5453507	./exp_datasets/SRR5453532-SRR5453533-SRR5453534	Kragesteen  Bjñrt K.  et al. "Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis." Nature genetics 50.10 (2018): 1463-1473.	mm10	chr11	32190000	32335000	32238646	32238667	32237202	32237228										_		
del1-13d9lac_1	deletion_2	Distal Forelimb E12	./exp_datasets/SRR5855094-SRR5855095	./exp_datasets/SRR5855098-SRR5855099	Rodr?guez-Carballo  Eddie  et al. "The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes." Genes & development 31.22 (2017): 2264-2281.	mm10	chr2	70945000	81015000	74663890	74693921	74701834	74764314										./CTCF_data/CTCF_DFL_E12.narrowPeak	SRX3024492	SRX4096949
del1-13d9lac_2	deletion_2	Proximal Forelimb  E12	./exp_datasets/SRR5855104-SRR5855105	./exp_datasets/SRR5855100-SRR5855101	Rodr?guez-Carballo  Eddie  et al. "The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes." Genes & development 31.22 (2017): 2264-2281.	mm10	chr2	70945000	81015000	74663890	74693921	74701834	74764314										./CTCF_data/CTCF_PFL_E12.narrowPeak	SRX3024493	SRX4096950
delattP-Rel5d9lac_1	deletion_2	Distal Forelimb  E12	./exp_datasets/SRR5855094-SRR5855095	./exp_datasets/SRR5855102-SRR5855103	Rodr?guez-Carballo  Eddie  et al. "The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes." Genes & development 31.22 (2017): 2264-2281.	mm10	chr2	70945000	81015000	74422050	74693922	74701834	7468746										./CTCF_data/CTCF_DFL_E12.narrowPeak	SRX3024492	SRX4096951
delattP-Rel5d9lac_2	deletion_2	Proximal Forelimb  E12	./exp_datasets/SRR5855104-SRR5855105	./exp_datasets/SRR5855104-SRR5855105	Rodr?guez-Carballo  Eddie  et al. "The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes." Genes & development 31.22 (2017): 2264-2281.	mm10	chr2	70945000	81015000	74422050	74693922	74701834	7468746										./CTCF_data/CTCF_PFL_E12.narrowPeak	SRX3024493	SRX4096952
DelB	deletion	human fibroblasts	./exp_datasets/SRR5099904	./exp_datasets/SRR5099905	Bianco  Simona  et al. "Polymer physics predicts the effects of structural variants on chromatin architecture." Nature genetics 50.5 (2018): 662-667.	hg38	chr2	217445000	223235000	220413511	222149613												_		
DelBs	deletion	E11.5 distal limb buds	./exp_datasets/SRR5099908	./exp_datasets/SRR5099910	Bianco  Simona  et al. "Polymer physics predicts the effects of structural variants on chromatin architecture." Nature genetics 50.5 (2018): 662-667.	mm10	chr1	70945000	81010000	76392403	77862399												./CTCF_data/CTCF_HL-E115.narrowPeak	SRX1975285-SRX1975286	SRX4096939
DelL-Mm	deletion	Forelimb E11.5	./exp_datasets/SRR6024957-SRR6024958-SRR6024959-SRR6024960	./exp_datasets/SRR6024981-SRR6024982	Kragesteen  Bjñrt K.  et al. "Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis." Nature genetics 50.10 (2018): 1463-1473.	mm10	chr13	53895001	57200000	56048376	56147390												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096942
dup-C	duplication	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR3733921	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	110910796	112653378												./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096957
dup-L	duplication	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR3179589	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111098275	112653378												./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096956
Dup-LBor	duplication_deletion	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR3179591	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111098275	112653378	111522545	111540886										./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096958
dup-S	duplication	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR3733922	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111891303	112311622												./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096955
