genome_locus_name	path_to_processed_hic_data	cell_type	locus_chr	locus_start	locus_end	organism	genome_assembly	path_to_processed_hic_data_AlenaServer
K562_chr1_22to42Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/K562/	K562	chr1	22000000	42000000	human	hg19	/storage/hic_data_for_3DBench/K562/
K562_chr19_36to56Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/K562/	K562	chr19	36000000	56000000	human	hg19	/storage/hic_data_for_3DBench/K562/
K562_chr10_90to110Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/K562/	K562	chr19	90000000	110000000	human	hg19	/storage/hic_data_for_3DBench/K562/
K562_chr21_22to42Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/K562/	K562	chr19	22000000	42000000	human	hg19	/storage/hic_data_for_3DBench/K562/
K562_chr11_0to20Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/K562/	K562	chr11	0	20000000	human	hg19	/storage/hic_data_for_3DBench/K562/
K562_chr22_27to47Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/K562/	K562	chr22	27000000	47000000	human	hg19	/storage/hic_data_for_3DBench/K562/
GM12878_chr1_22to42Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/GM12878/	GM12878	chr1	22000000	42000000	human	hg19	/storage/hic_data_for_3DBench/GM12878/
GM12878_chr19_36to56Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/GM12878/	GM12878	chr19	36000000	56000000	human	hg19	/storage/hic_data_for_3DBench/GM12878/
Gm12878_chr10_90to110Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/GM12878/	GM12878	chr19	90000000	110000000	human	hg19	/storage/hic_data_for_3DBench/GM12878/
Gm12878_chr21_22to42Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/GM12878/	GM12878	chr19	22000000	42000000	human	hg19	/storage/hic_data_for_3DBench/GM12878/
Gm12878_chr11_0to20Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/GM12878/	GM12878	chr11	0	20000000	human	hg19	/storage/hic_data_for_3DBench/GM12878/
mESC_chr5_65to85Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/mESC/	mESC	chr5	65000000	85000000	mouse	mm10	/storage/hic_data_for_3DBench/mESC/
mESC_chr10_59to79Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/mESC/	mESC	chr10	59000000	79000000	mouse	mm10	/storage/hic_data_for_3DBench/mESC/
mESC_chr6_84to104Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/mESC/	mESC	chr6	84000000	104000000	mouse	mm10	/storage/hic_data_for_3DBench/mESC/
mESC_chr8_23to43Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/mESC/	mESC	chr8	23000000	43000000	mouse	mm10	/storage/hic_data_for_3DBench/mESC/
mESC_chr11_7to27Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/mESC/	mESC	chr11	7000000	27000000	mouse	mm10	/storage/hic_data_for_3DBench/mESC/
Kc167_chr2L_5to20Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/Kc167/	Kc167	chr2L	500000	20000000	drosophila	dm6	/storage/hic_data_for_3DBench/Kc167/
Kc167_chr2R_5to20Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/Kc167/	Kc167	chr2R	500000	20000000	drosophila	dm6	/storage/hic_data_for_3DBench/Kc167/
Kc167_chr3L_5to20Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/Kc167/	Kc167	chr3L	500000	20000000	drosophila	dm6	/storage/hic_data_for_3DBench/Kc167/
Kc167_chr3R_5to20Mb	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/Kc167/	Kc167	chr3R	500000	20000000	drosophila	dm6	/storage/hic_data_for_3DBench/Kc167/
