rearrangement_ID	rearrangement_type	cell_type	capture_WT_data_archive	capture_Mut_data_archive	capture_WT_data	capture_Mut_data	cite	genome_assembly	chr	start_prediction	end_prediction	start_capture	end_capture	start1	end1	start2	end2	start3	end3	start4	end4	start5	end5	CTCF_data	capture_WT_data_AlenaServer	capture_Mut_data_AlenaServer
Bor	deletion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179590.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179590	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111522545	111540886									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR3179590/
BorC1	deletion_deletion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8453401-SRR8453402.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8453401-SRR8453402	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111904229	111904329	111522535	111540879							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR8453401-SRR8453402/
BorC1-2	deletion_deletion_deletion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8453403-SRR8453404.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8453403-SRR8453404	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	112209542	112209642	111522535	111540879	111653006	111653106					https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR8453403-SRR8453404/
BorC1-4	deletion_deletion_deletion_deletion_deletion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8453405.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8453405	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111522535	111540879	111514320	111653006	111653106	111904229	111904329	111964807	112103393	112103493	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR8453405/
D3839	deletion_deletion	erythroid cells	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5453529-SRR5453530-SRR5453531-SRR5453514-SRR5453515-SRR5453516-SRR5453505-SRR5453506-SRR5453507.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5453532-SRR5453533-SRR5453534.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5453529-SRR5453530-SRR5453531-SRR5453514-SRR5453515-SRR5453516-SRR5453505-SRR5453506-SRR5453507	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5453532-SRR5453533-SRR5453534	Hanssen LLP, et al. Tissue-specific CTCF-cohesin-mediated chromatin architecture delimits enhancer interactions and function in vivo. Nat Cell Biol. 2017	mm10	chr11	32190000	32335000	32190000	32335000	32238646	32238667	32237202	32237228							_	/storage/hic_data_for_3DBench/SRR5453529-SRR5453530-SRR5453531-SRR5453514-SRR5453515-SRR5453516-SRR5453505-SRR5453506-SRR5453507/	/storage/hic_data_for_3DBench/SRR5453532-SRR5453533-SRR5453534/
del1-13d9lac_1	deletion_deletion	Distal Forelimb E12	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855094-SRR5855095.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855098-SRR5855099.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855094-SRR5855095	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855098-SRR5855099	"Rodriguez-Carballo  Eddie  et al. ""The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes."" Genes & development 31.22 (2017): 2264-2281."	mm10	chr2	70945000	81015000	70945000	81015000	74663890	74693921	74701834	74764314							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_DFL_E12.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5855094-SRR5855095/	/storage/hic_data_for_3DBench/SRR5855098-SRR5855099/
del1-13d9lac_2	deletion_deletion	Proximal Forelimb  E12	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855104-SRR5855105.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855100-SRR5855101.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855104-SRR5855105	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855100-SRR5855101	"Rodriguez-Carballo  Eddie  et al. ""The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes."" Genes & development 31.22 (2017): 2264-2281."	mm10	chr2	70945000	81015000	70945000	81015000	74663890	74693921	74701834	74764314							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_PFL_E12.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5855104-SRR5855105/	/storage/hic_data_for_3DBench/SRR5855100-SRR5855101/
delattP-Rel5d9lac_1	deletion_deletion	Distal Forelimb  E12	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855094-SRR5855095.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855102-SRR5855103.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855094-SRR5855095	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855102-SRR5855103	"Rodriguez-Carballo  Eddie  et al. ""The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes."" Genes & development 31.22 (2017): 2264-2281."	mm10	chr2	70945000	81015000	70945000	81015000	74422050	74693922	74701834	7468746							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_DFL_E12.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5855094-SRR5855095/	/storage/hic_data_for_3DBench/SRR5855102-SRR5855103/
delattP-Rel5d9lac_2	deletion_deletion	Proximal Forelimb  E12	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855104-SRR5855105.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5855104-SRR5855105.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855104-SRR5855105	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5855104-SRR5855105	"Rodriguez-Carballo  Eddie  et al. ""The HoxD cluster is a dynamic and resilient TAD boundary controlling the segregation of antagonistic regulatory landscapes."" Genes & development 31.22 (2017): 2264-2281."	mm10	chr2	70945000	81015000	70945000	81015000	74422050	74693922	74701834	7468746							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_PFL_E12.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5855104-SRR5855105/	/storage/hic_data_for_3DBench/SRR5855104-SRR5855105/
DelB	deletion	human fibroblasts	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099904.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099905.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099904	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099905	"Bianco  Simona  et al. ""Polymer physics predicts the effects of structural variants on chromatin architecture."" Nature genetics 50.5 (2018): 662-667."	hg38	chr2	217445000	223235000	217445000	223235000	220413511	222149613									_	/storage/hic_data_for_3DBench/SRR5099904/	/storage/hic_data_for_3DBench/SRR5099905/
